Family Size,Family,Pairs ≥ 2x,Pairs ≥ 3x,Quadruples with ≥2 Triples
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4), (2, 3, 4), (2, 3, 5), (3, 4, 5))",11,6,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4), (2, 3, 4), (2, 4, 5), (3, 4, 5))",12,4,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",12,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 4, 5), (2, 3, 4))",12,5,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (2, 3, 4), (2, 3, 5))",14,4,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (2, 3, 4), (2, 4, 5))",13,4,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (2, 3, 4), (3, 4, 5))",13,4,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (2, 4, 5), (3, 4, 5))",14,3,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 4, 5), (2, 3, 4), (2, 3, 5))",12,5,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 4, 5), (2, 3, 4), (2, 4, 5))",12,5,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 4, 5), (2, 3, 4), (3, 4, 5))",13,4,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 4, 5), (2, 3, 5), (2, 4, 5))",13,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 4, 5), (2, 3, 5), (3, 4, 5))",12,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 4, 5), (2, 4, 5), (3, 4, 5))",12,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5))",11,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (2, 3, 4), (2, 3, 5), (3, 4, 5))",12,5,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (2, 3, 4), (2, 4, 5), (3, 4, 5))",13,4,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (2, 3, 5), (2, 4, 5), (3, 4, 5))",12,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5))",12,5,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5), (2, 3, 4), (2, 4, 5), (3, 4, 5))",12,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",11,6,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 2, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",12,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 2, 5), (2, 3, 4), (2, 4, 5), (3, 4, 5))",12,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 3, 4), (2, 3, 4), (2, 4, 5), (3, 4, 5))",11,6,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",13,4,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 3, 5), (2, 3, 4), (2, 4, 5), (3, 4, 5))",12,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 4, 5), (2, 3, 4), (2, 3, 5), (3, 4, 5))",13,3,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 4, 5), (2, 3, 4), (2, 4, 5), (3, 4, 5))",12,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 4, 5), (2, 3, 5), (2, 4, 5), (3, 4, 5))",13,4,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 4), (2, 3, 4), (2, 3, 5), (2, 4, 5))",12,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 4), (2, 3, 4), (2, 3, 5), (3, 4, 5))",13,4,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",14,3,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5))",11,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 5), (2, 3, 4), (2, 3, 5), (3, 4, 5))",12,5,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 5), (2, 3, 4), (2, 4, 5), (3, 4, 5))",13,4,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 5), (2, 3, 5), (2, 4, 5), (3, 4, 5))",12,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",12,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 3, 4), (2, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",12,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 3, 5), (1, 4, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5))",12,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 3, 5), (1, 4, 5), (2, 3, 4), (2, 3, 5), (3, 4, 5))",12,5,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 3, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",12,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (1, 2, 3), (1, 4, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5))",13,3,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (1, 2, 4), (1, 3, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5))",14,3,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (1, 2, 4), (2, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",13,4,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 5), (2, 4, 5))",11,9,10
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 4), (1, 3, 5), (1, 4, 5), (2, 3, 5))",11,8,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 4), (1, 3, 5), (1, 4, 5), (3, 4, 5))",13,7,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 4), (1, 3, 5), (2, 3, 5), (3, 4, 5))",11,8,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))",12,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 5), (1, 3, 5), (1, 4, 5), (2, 3, 5))",11,8,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 5), (1, 3, 5), (1, 4, 5), (2, 4, 5))",12,7,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 5), (1, 3, 5), (2, 4, 5), (3, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 5), (1, 4, 5), (2, 4, 5), (3, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5), (1, 3, 5), (1, 4, 5), (2, 3, 5), (2, 4, 5))",13,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 4), (1, 3, 5), (1, 4, 5))",13,7,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 4), (1, 3, 5), (2, 4, 5))",12,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 4), (1, 3, 5), (3, 4, 5))",12,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 3, 4), (1, 4, 5))",11,7,14
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 3, 4), (2, 3, 4))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 3, 4), (2, 3, 5))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 3, 4), (2, 4, 5))",12,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 3, 4), (3, 4, 5))",12,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 3, 5), (1, 4, 5))",12,7,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 3, 5), (2, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 3, 5), (3, 4, 5))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 4, 5), (2, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 2, 5), (1, 4, 5), (3, 4, 5))",12,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 4), (1, 4, 5), (2, 3, 4))",12,7,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 4), (1, 4, 5), (2, 3, 5))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 4), (1, 4, 5), (2, 4, 5))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 4), (1, 4, 5), (3, 4, 5))",12,7,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 4), (2, 3, 4), (3, 4, 5))",13,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 4), (2, 3, 5), (2, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 4), (2, 4, 5), (3, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 5), (1, 4, 5), (2, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 5), (1, 4, 5), (3, 4, 5))",12,7,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 3), (1, 3, 5), (2, 4, 5), (3, 4, 5))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 4), (1, 3, 5), (1, 4, 5))",11,7,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 4), (1, 3, 5), (2, 3, 4))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 4), (1, 3, 5), (2, 3, 5))",12,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 4), (1, 3, 5), (2, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 4), (1, 3, 5), (3, 4, 5))",12,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 4), (2, 3, 4), (3, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 4), (2, 3, 5), (2, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 4), (2, 3, 5), (3, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 5), (1, 4, 5), (2, 3, 5))",13,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 5), (1, 4, 5), (3, 4, 5))",11,7,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5), (1, 3, 5), (2, 4, 5), (3, 4, 5))",12,6,14
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 4), (1, 3, 5), (1, 4, 5), (2, 3, 4))",13,6,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 4), (1, 3, 5), (1, 4, 5), (2, 3, 5))",11,7,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 4), (1, 3, 5), (1, 4, 5), (3, 4, 5))",11,8,10
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 4), (1, 3, 5), (2, 3, 4), (2, 4, 5))",12,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 4), (1, 3, 5), (2, 3, 4), (3, 4, 5))",12,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 4), (1, 3, 5), (2, 3, 5), (2, 4, 5))",12,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))",11,7,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",13,6,11
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 3, 5), (1, 4, 5), (2, 3, 5), (2, 4, 5))",13,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3), (1, 2, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))",11,7,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3), (1, 2, 5), (1, 3, 4), (2, 4, 5), (3, 4, 5))",13,5,14
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3), (1, 2, 5), (1, 3, 5), (2, 4, 5), (3, 4, 5))",12,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3), (1, 2, 5), (1, 4, 5), (2, 4, 5), (3, 4, 5))",13,5,14
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3), (1, 3, 4), (1, 4, 5), (2, 3, 4), (2, 4, 5))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3), (1, 3, 4), (1, 4, 5), (2, 4, 5), (3, 4, 5))",12,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3), (1, 3, 5), (1, 4, 5), (2, 4, 5), (3, 4, 5))",12,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4), (1, 3, 4), (1, 3, 5), (2, 3, 5), (2, 4, 5))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4), (1, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4), (1, 3, 5), (1, 4, 5), (2, 3, 5), (2, 4, 5))",13,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4), (1, 3, 5), (1, 4, 5), (2, 4, 5), (3, 4, 5))",11,7,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 3, 5), (2, 3, 4), (2, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 3, 5), (2, 3, 5), (2, 4, 5))",12,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 4, 5), (2, 3, 4), (2, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 4, 5), (2, 3, 4), (3, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 4, 5), (2, 3, 5), (2, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 4, 5), (2, 3, 5), (3, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (1, 4, 5), (2, 4, 5), (3, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 5), (1, 4, 5), (2, 3, 5), (2, 4, 5))",13,6,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 5), (1, 4, 5), (2, 4, 5), (3, 4, 5))",12,6,14
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 3, 4), (1, 3, 5), (1, 4, 5), (2, 3, 5), (2, 4, 5))",12,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 3, 4), (1, 4, 5), (2, 3, 5), (2, 4, 5), (3, 4, 5))",12,6,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 4), (1, 3, 5), (2, 3, 4), (2, 4, 5), (3, 4, 5))",14,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 4), (1, 3, 5), (2, 3, 5), (2, 4, 5), (3, 4, 5))",14,5,12
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 2, 3), (1, 3, 5), (1, 4, 5), (2, 3, 4), (2, 4, 5))",13,5,14
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 2, 4), (1, 2, 5), (1, 3, 5), (2, 3, 4), (3, 4, 5))",15,3,15
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 2, 4), (1, 3, 5), (1, 4, 5), (2, 3, 4), (2, 3, 5))",14,4,14
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 2, 4), (1, 3, 5), (1, 4, 5), (2, 3, 5), (3, 4, 5))",13,5,13
11,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 2, 4), (1, 3, 5), (2, 3, 4), (2, 4, 5), (3, 4, 5))",14,4,14
